word,sentiment,lexicon,score
aftermath,fear,nrc,NA
aftermath,negative,nrc,NA
aftermath,sadness,nrc,NA
aftertaste,negative,nrc,NA
aga,fear,nrc,NA
aga,positive,nrc,NA
aga,trust,nrc,NA
aggravated,anger,nrc,NA
aggravated,negative,nrc,NA
aggravating,anger,nrc,NA
aggravating,negative,nrc,NA
aggravating,sadness,nrc,NA
aggravation,anger,nrc,NA
aggravation,disgust,nrc,NA
aggravation,negative,nrc,NA
aggression,anger,nrc,NA
aggression,fear,nrc,NA
aggression,negative,nrc,NA
aggressive,anger,nrc,NA
aggressive,fear,nrc,NA
aggressive,negative,nrc,NA
aggressor,anger,nrc,NA
aggressor,fear,nrc,NA
aggressor,negative,nrc,NA
aghast,disgust,nrc,NA
aghast,fear,nrc,NA
aghast,negative,nrc,NA
aghast,surprise,nrc,NA
agile,positive,nrc,NA
agility,positive,nrc,NA
agitated,anger,nrc,NA
agitated,negative,nrc,NA
agitation,anger,nrc,NA
agitation,negative,nrc,NA
agonizing,fear,nrc,NA
agonizing,negative,nrc,NA
agony,anger,nrc,NA
agony,fear,nrc,NA
agony,negative,nrc,NA
agony,sadness,nrc,NA
agree,positive,nrc,NA
agreeable,positive,nrc,NA
agreeable,trust,nrc,NA
agreed,positive,nrc,NA
agreed,trust,nrc,NA
agreeing,positive,nrc,NA
agreeing,trust,nrc,NA
agreement,positive,nrc,NA
agreement,trust,nrc,NA
agriculture,positive,nrc,NA
aground,negative,nrc,NA
ahead,positive,nrc,NA
aid,positive,nrc,NA
aiding,positive,nrc,NA
ail,negative,nrc,NA
ail,sadness,nrc,NA
ailing,fear,nrc,NA
ailing,negative,nrc,NA
ailing,sadness,nrc,NA
aimless,negative,nrc,NA
airport,anticipation,nrc,NA
airs,disgust,nrc,NA
airs,negative,nrc,NA
akin,trust,nrc,NA
alabaster,positive,nrc,NA
alarm,fear,nrc,NA
alarm,negative,nrc,NA
alarm,surprise,nrc,NA
alarming,fear,nrc,NA
alarming,negative,nrc,NA
alarming,surprise,nrc,NA
alb,trust,nrc,NA
alcoholism,anger,nrc,NA
alcoholism,disgust,nrc,NA
alcoholism,fear,nrc,NA
alcoholism,negative,nrc,NA
alcoholism,sadness,nrc,NA
alertness,anticipation,nrc,NA
alertness,fear,nrc,NA
alertness,positive,nrc,NA
alertness,surprise,nrc,NA
alerts,anticipation,nrc,NA
alerts,fear,nrc,NA
alerts,surprise,nrc,NA
alien,disgust,nrc,NA
alien,fear,nrc,NA
alien,negative,nrc,NA
alienate,anger,nrc,NA
alienate,disgust,nrc,NA
alienate,negative,nrc,NA
alienated,negative,nrc,NA
alienated,sadness,nrc,NA
alienation,anger,nrc,NA
alienation,disgust,nrc,NA
alienation,fear,nrc,NA
alienation,negative,nrc,NA
alienation,sadness,nrc,NA
alimentation,positive,nrc,NA
alimony,negative,nrc,NA
alive,anticipation,nrc,NA
alive,joy,nrc,NA
alive,positive,nrc,NA
alive,trust,nrc,NA
allay,positive,nrc,NA
allegation,anger,nrc,NA
allegation,negative,nrc,NA
allege,negative,nrc,NA
allegiance,positive,nrc,NA
allegiance,trust,nrc,NA
allegro,positive,nrc,NA
alleviate,positive,nrc,NA
alleviation,positive,nrc,NA
alliance,trust,nrc,NA
allied,positive,nrc,NA
allied,trust,nrc,NA
allowable,positive,nrc,NA
allure,anticipation,nrc,NA
allure,joy,nrc,NA
allure,positive,nrc,NA
allure,surprise,nrc,NA
alluring,positive,nrc,NA
ally,positive,nrc,NA
ally,trust,nrc,NA
almighty,positive,nrc,NA
aloha,anticipation,nrc,NA
aloha,joy,nrc,NA
aloha,positive,nrc,NA
aloof,negative,nrc,NA
altercation,anger,nrc,NA
altercation,negative,nrc,NA
amaze,surprise,nrc,NA
amazingly,joy,nrc,NA
amazingly,positive,nrc,NA
amazingly,surprise,nrc,NA
ambassador,positive,nrc,NA
ambassador,trust,nrc,NA
ambiguous,negative,nrc,NA
ambition,anticipation,nrc,NA
ambition,joy,nrc,NA
ambition,positive,nrc,NA
ambition,trust,nrc,NA
ambulance,fear,nrc,NA
ambulance,trust,nrc,NA
ambush,anger,nrc,NA
ambush,fear,nrc,NA
ambush,negative,nrc,NA
ambush,surprise,nrc,NA
ameliorate,positive,nrc,NA
amen,joy,nrc,NA
amen,positive,nrc,NA
amen,trust,nrc,NA
amenable,positive,nrc,NA
amend,positive,nrc,NA
amends,positive,nrc,NA
amenity,positive,nrc,NA
amiable,positive,nrc,NA
amicable,joy,nrc,NA
amicable,positive,nrc,NA
ammonia,disgust,nrc,NA
amnesia,negative,nrc,NA
amnesty,joy,nrc,NA
amnesty,positive,nrc,NA
amortization,trust,nrc,NA
amour,anticipation,nrc,NA
amour,joy,nrc,NA
amour,positive,nrc,NA
amour,trust,nrc,NA
amphetamines,disgust,nrc,NA
amphetamines,negative,nrc,NA
amuse,joy,nrc,NA
amuse,positive,nrc,NA
amused,joy,nrc,NA
amused,positive,nrc,NA
amusement,joy,nrc,NA
amusement,positive,nrc,NA
amusing,joy,nrc,NA
amusing,positive,nrc,NA
anaconda,disgust,nrc,NA
anaconda,fear,nrc,NA
anaconda,negative,nrc,NA
anal,negative,nrc,NA
analyst,anticipation,nrc,NA
analyst,positive,nrc,NA
analyst,trust,nrc,NA
anarchism,anger,nrc,NA
anarchism,fear,nrc,NA
anarchism,negative,nrc,NA
anarchist,anger,nrc,NA
